|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
WD Red Pro WD2002FFSX 2002FFSX|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||5 лет|6.5 Вт|34 дБ||||||147x102x26 мм|700 г||CMR|164 МБ/с||||
Seagate IronWolf Pro ST8000NE001 ST8000NE001|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|7.06 Вт|70 G||1.2 млн. ч|5 лет|9.2 Вт|||||||147x102x26 мм|780 г|||214 МБ/с||||
"Silicon Power Armor A30 2.5"" SP020TBPHDA30S3K SP020TBPHDA30S3K"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус / силикагель /||Есть|USB порт|прорезиненный|134x88x19 мм|181 г||||SP020TBPHDA30S3A, SP020TBPHDA30S3K, SP020TBPHDA30S3W, SP020TBPHDA30SCA|||
Netac K331 NT05K331N-001T-30BK NT05K331N-001T-30BK|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||||||||USB порт|пластиковый|124x78x13 мм||||||||
Seagate IronWolf Pro ST4000NE001 ST4000NE001|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|5.5 Вт|70 G||1.2 млн. ч|5 лет|9 Вт|||||||147x102x26 мм|643 г|||214 МБ/с|||0763649125137, 8719706020046|
HP Midline SAS 872481-B21 872481-B21|встраиваемый|HDD|для сервера|1800 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"WD Elements Portable 3.0 2.5"" WDBUZG0010BBK BUZG0010BBK"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|пластиковый|82x111х15 мм|134 г|||||||
Netac K338 NT05K338N-001T-30SL NT05K338N-001T-30SL|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|||||||||
A-Data HV320 AHV320-1TU31-CBK AHV320-1TU31-CBK|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x80x11 мм|180 г|||||||
"Seagate BarraCuda Pro Compute 2.5"" ST1000LM049 ST1000LM049"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||0.7 Вт|400 G|22 дБ|600 тыс. раз|5 лет|1.9 Вт|24 дБ||||||100x70x7 мм|85 г|||160 МБ/с|ST1000LM049|||
Silicon Power Stream S07 SP080TBEHDS07C3K SP080TBEHDS07C3K|внешний|HDD|для ПК|8000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года||||||блок питания|пластиковый|171x114x35 мм|||||SP080TBEHDS07A3K, SP080TBEHDS07C3K, SP080TBEHDS07G3K|||
WD Gold WD4003FRYZ 4003FRYZ|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|3 шт||7 Вт|70 G|29 дБ|600 тыс. раз|5 лет|9 Вт|36 дБ||||||147x102x26 мм|650 г|||255 МБ/с||||
WD Ultrastar DC HC550 WUH721816ALE6L4 WUH721816ALE6L4|встраиваемый|HDD|для сервера|16000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||5.6 Вт|||600 тыс. раз|5 лет|6.5 Вт|||||||147x102x26 мм|690 г|||262 МБ/с|0F38461, 0F38462|Есть||
Seagate SkyHawk AI ST10000VE001 ST10000VE001|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA 3|256 МБ|7200 об/мин|||||||3 года||36 дБ||||||147x102x26 мм|720 г|||234 МБ/с||||
"WD Black Performance Mobile 2.5"" WD10SPSX 10SPSX"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA 3|64 МБ|7200 об/мин|||||||5 лет||||||||100x70x7 мм|||SMR||||0718037873350|
Seagate IronWolf ST2000VN004 ST2000VN004|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5900 об/мин|||3.56 Вт|80 G|19 дБ|600 тыс. раз|3 года|4.3 Вт|21 дБ||||||147x102x26 мм|535 г|||180 МБ/с||||
Dell SATA ATK 400-ATKN 400-ATKN|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Toshiba MG08 MG08ADA800E MG08ADA800E|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс||||2 млн. ч||9.6 Вт||||||||||CMR|248 МБ/с||||
Seagate IronWolf ST10000VN0008 ST10000VN0008|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||5 Вт|70 G|28 дБ|600 тыс. раз|3 года|7.8 Вт|32 дБ||||||147x102x26 мм|705 г|||210 МБ/с||||
Apacer AC630 AP1TBAC630T-1 AP1TBAC630T-1|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть|Есть|USB порт|прорезиненный|143x93x20 мм|250 г|||||||
"Silicon Power Armor A30 2.5"" SP010TBPHDA30S3K SP010TBPHDA30S3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус / силикагель /||Есть|USB порт|прорезиненный|134x88x19 мм|181 г||||SP010TBPHDA30S3A, SP010TBPHDA30S3K, SP010TBPHDA30S3W, SP010TBPHDA30SCA|||
"Lenovo SAS 10K Hot Swapp 2.5"" 7XB7A00069 7XB7A00069"|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||||||||0889488455263|
Transcend StoreJet 25C3S TS2TSJ25C3S TS2TSJ25C3S|внешний|HDD|для ПК|2000 ГБ|"1.8 """|USB C 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|металлический|114x78x10 мм|133 г|||||||
"Silicon Power Armor A15 2.5"" SP010TBPHDA15S3K SP010TBPHDA15S3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус, кнопка резервного копирования||Есть|USB порт|прорезиненный|136x83x20 мм|200 г|||||||
Seagate SkyHawk AI ST10000VE0008 ST10000VE0008|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA 3|256 МБ|7200 об/мин|||4.9 Вт|||300 тыс. раз|5 лет|6.9 Вт|||||||147x102x26 мм|670 г|||||||
Toshiba X300 HDWR440UZSVA HDWR440UZSVA|встраиваемый|HDD|для ПК|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G|34 дБ||2 года|11.3 Вт|||||||147x102x26 мм|770 г|||||||
Seagate IronWolf Pro ST18000NE000 ST18000NE000|встраиваемый|HDD|для сервера|18000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||1.2 млн. ч|5 лет|7.6 Вт|||||||147x102x26 мм|670 г|||||||
"Transcend StoreJet 25A3 2.5"" TS2TSJ25A3K TS2TSJ25A3K"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||шифрование данных, режим экономии энергии|||USB порт|пластиковый|130x80x15 мм|196 г|||||||Есть
"HP Server SAS 10K 2.5"" P40430-B21 P40430-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||2 года||||||||||||||||
Seagate One Touch HDD STKB2000400 STKB2000400|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|||||||||2 года||||||USB порт|металлический|115x78x12 мм|148 г||||STKB2000400, STKB2000401, STKB2000402, STKB2000403, STKB2000404, STKB2000405|||
"A-Data DashDrive Durable HD330 2.5"" AHD330-4TU31-CBK AHD330-4TU31-CBK"|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|128 МБ|5400 об/мин|||||||3 года||21 дБ|ударостойкий корпус|Есть|||пластиковый|133x89x23 мм|316 г||||||4713218465528|Есть
Seagate SkyHawk AI ST20000VE002 ST20000VE002|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|IDE, SATA 3|256 МБ|7200 об/мин|10 шт|4 мс||||600 тыс. раз|5 лет||||||||147x102x26 мм|680 г|||260 МБ/с|||8719706427579|
Apacer AC633 AP1TBAC633U-1 AP1TBAC633U-1|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин||||||||||ударостойкий корпус / MIL-STD-810G-516.6 /|Есть||USB порт|пластиковый|139x88x22 мм|269 г|||||||
HP Server SAS 872477-B21 872477-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
WD Gold WD2005FBYZ 2005FBYZ|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||6 Вт|70 G|29 дБ|600 тыс. раз|5 лет|7 Вт|36 дБ||||||147x102x26 мм|641 г||CMR|200 МБ/с||||
Seagate Exos X18 ST18000NM000J ST18000NM000J|встраиваемый|HDD|для сервера|18000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||5.3 Вт|200 G||2.5 млн. ч|5 лет||||||||147x102x26 мм|670 г||||ST18000NM000J, ST18000NM001J|Есть||
A-Data HV320 AHV320-2TU31-CBK AHV320-2TU31-CBK|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x80x11 мм|180 г|||||||
"HP Midline SATA 2.5"" 655710-B21 655710-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||119x76x16 мм||||||||
"HP Server SAS 2.5"" 872475-B21 872475-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Toshiba X300 HDWR480UZSVA HDWR480UZSVA|встраиваемый|HDD|для ПК|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G|34 дБ||2 года|11.3 Вт|||||||147x102x26 мм|770 г|||||||
Toshiba DT01ACAxxx DT01ACA100 DT01ACA100|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|32 МБ|7200 об/мин|1 шт||1 Вт|70 G|26 дБ|300 тыс. раз|2 года|6.4 Вт|28 дБ||||||||||||||
Transcend StoreJet 25C3S TS1TSJ25C3S TS1TSJ25C3S|внешний|HDD|для ПК|1000 ГБ|"1.8 """|USB C 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|металлический|114x78x10 мм|133 г|||||||
WD Ultrastar DC HC550 WUH721818ALE6L4 WUH721818ALE6L4|встраиваемый|HDD|для сервера|18000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||5.6 Вт|||600 тыс. раз|5 лет|6.5 Вт|||||||147x102x26 мм|690 г|||269 МБ/с|0F38458, 0F38459|Есть||
Seagate IronWolf Pro ST6000NE000 ST6000NE000|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|6 шт|4 мс|7.06 Вт|||1.2 млн. ч|5 лет|8.1 Вт|||||||147x102x26 мм|705 г|||||||
"Silicon Power Armor A80 2.5"" SP010TBPHDA80S3B SP010TBPHDA80S3B"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|USB порт|металлический|140x94x18 мм|270 г|||||||
WD Purple Pro WD8001PURP 8001PURP|встраиваемый|HDD|для ПК|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||||||3 года||||||||147x102x26 мм||||245 МБ/с||||
"A-Data DashDrive Classic HV620S USB 3.1 2.5"" AHV620S-2TU31-CBL AHV620S-2TU31-CBL"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|115x78x12 мм|152 г||||AHV620S-2TU31-CBK, AHV620S-2TU31-CBL, AHV620S-2TU31-CWH|||
Seagate Expansion STKM STKM4000400 STKM4000400|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|||||||||||||||||115x80x21 мм|257 г|||||||
Apacer AC236 AP2TBAC236B-1 AP2TBAC236B-1|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|129x79x11 мм|190 г|||||||
Apacer AC532 AP2TBAC532B-1 AP2TBAC532B-1|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года|||ударостойкий корпус|Есть||USB порт|пластиковый|132x82x16 мм|190 г|||||||
"Toshiba L200 2.5"" HDWL120UZSVA HDWL120UZSVA"|встраиваемый|HDD|для ПК|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин||||||0.6 млн. ч|2 года|1.65 Вт|24 дБ||||||100x70x10 мм|117 г||SMR|||||
Seagate One Touch Hub STLC6000400 STLC6000400|внешний|HDD|для ПК|6000 ГБ||USB 3.2 gen1, USB C 3.2 gen1|||||||||2 года||||||блок питания|пластиковый|199x130x45 мм|1240 г||||||3660619042135|
"WD Elements Portable 3.0 2.5"" WDBU6Y0020BBK BU6Y0020BBK"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|пластиковый|82x111х15 мм|134 г|||||||
WD Purple Pro WD121PURP 121PURP|встраиваемый|HDD|для ПК|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||||||3 года||||||||147x102x26 мм||||245 МБ/с||||
WD Red Pro WD4003FFBX 4003FFBX|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||5.8 Вт|30 G|29 дБ|600 тыс. раз|5 лет|9.1 Вт|36 дБ||||||147x102x26 мм|720 г||CMR|217 МБ/с||||
"WD Elements Portable 3.0 2.5"" WDBU6Y0050BBK BU6Y0050BBK"|внешний|HDD|для ПК|5000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|пластиковый|111x83x21 мм|234 г|||||||
"A-Data DashDrive Durable HD330 2.5"" AHD330-1TU31-CBK AHD330-1TU31-CBK"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть|||пластиковый|133x89x16 мм|190 г|||||||Есть
"Silicon Power Armor A80 2.5"" SP020TBPHDA80S3B SP020TBPHDA80S3B"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|USB порт|металлический|140x94x18 мм|270 г|||||||
"Transcend StoreJet 25M3 2.5"" TS1TSJ25M3G TS1TSJ25M3G"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус, кнопка резервного копирования||Есть|USB порт / доп. порт USB /|прорезиненный|129x81x16 мм|185 г|||||||
Seagate IronWolf ST6000VN001 ST6000VN001|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5400 об/мин|||3.4 Вт|||600 тыс. раз|3 года|5.3 Вт|||||||147x102x26 мм|610 г||CMR|190 МБ/с||||
"Transcend StoreJet 25C3 2.5"" TS1TSJ25C3N TS1TSJ25C3N"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|металлический|115x79x10 мм|136 г|||||||
"Silicon Power Armor A15 2.5"" SP020TBPHDA15S3K SP020TBPHDA15S3K"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|USB порт|прорезиненный|136x83x20 мм|200 г|||||||
"Transcend StoreJet 25A3 2.5"" TS1TSJ25A3K TS1TSJ25A3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||шифрование данных, режим экономии энергии|||USB порт|пластиковый|130x80x15 мм|182 г|||||||Есть
WD Purple Pro WD141PURP 141PURP|встраиваемый|HDD|для ПК|14000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||||||3 года||||||||101x147x26 мм||||255 МБ/с||||
Seagate Exos 7E10 512e/4KN SATA ST8000NM017B ST8000NM017B|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA 3||7200 об/мин|||7.06 Вт|||2 млн. ч|5 лет|11.03 Вт|||||||147x102x26 мм|716 г|||255 МБ/с||||
Seagate SkyHawk ST10000VX0004 ST10000VX0004|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||0.8 Вт|||300 тыс. раз|3 года|6.8 Вт|||||||102x147x26 мм|650 г|||210 МБ/с||||
Toshiba X300 HDWR460UZSVA HDWR460UZSVA|встраиваемый|HDD|для ПК|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G|34 дБ||2 года|11.3 Вт|||||||147x102x26 мм|770 г||||||4260557512029|
"A-Data DashDrive Durable HD330 2.5"" AHD330-2TU31-CBK AHD330-2TU31-CBK"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть|||пластиковый|133x89x16 мм|190 г|||||||Есть
"Lenovo ThinkSystem HDD 2.5"" 7XB7A00027 7XB7A00027"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||||||||0889488432776, 4058154229101|
"WD Blue 2.5"" WD10SPZX 10SPZX"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин|||0.5 Вт||19 дБ|600 тыс. раз|2 года|1.5 Вт|21 дБ||||||100x70x7 мм|90 г||SMR|130 МБ/с||||
Seagate SkyHawk ST2000VX008 ST2000VX008|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5900 об/мин|||0.5 Вт|||300 тыс. раз|3 года|5.6 Вт|||||||147x102x26 мм|610 г||CMR|180 МБ/с||||
"A-Data DashDrive Durable HD330 2.5"" AHD330-5TU31-CBK AHD330-5TU31-CBK"|внешний|HDD|для ПК|5000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть|||пластиковый|133x89x23 мм|316 г||||AHD330-5TU31-CBK, AHD330-5TU31-CBL, AHD330-5TU31-CRD|||Есть
