|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core 2 Duo E4300|Core 2 Duo|Conroe|Intel LGA 775|65 нм|1.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|9|61 °С|2 cores|64 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E4500|Core 2 Duo|Conroe|Intel LGA 775|65 нм|2.2 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|11|73 °С|2 cores|64 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7500|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.93 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7300|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.66 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|10|74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E6320|Core 2 Duo|Conroe|Intel LGA 775|65 нм|1.86 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|7|60 °С|2 cores|64 КБ|4096 КБ|||||||||||||||||||||||||||||||||||
Intel Pentium Conroe E2160|Pentium|Conroe|Intel LGA 775|65 нм|1.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|9|74 °С|2 cores|64 КБ|1024 КБ|2 threads||||||||||||||||||||||||||||||||||
Intel Pentium Conroe E2140|Pentium|Conroe|Intel LGA 775|65 нм|1.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|8|74 °С|2 cores|64 КБ|1024 КБ|2 threads||||||||||||||||||||||||||||||||||
Intel Core 2 Duo E7200|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|2.53 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|10|74 °С|2 cores|64 КБ|3072 КБ|||||||||||||||||||||||||||||||||||
Intel Pentium Sandy Bridge G620|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|26|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|3 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
Intel Celeron D Prescott 351|Celeron D|Prescott|Intel LGA 775|90 нм|3.2 ГГц|84 Вт|MMX, SSE, SSE2, SSE3|24|68 °С|1 cores|64 КБ|256 КБ|||||||||||||||||||||||||||||||||||
Intel Core i3 Sandy Bridge i3-2130|Core i3|Sandy Bridge|Intel LGA 1155|32 нм|3.4 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||65 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует||3 МБ|||2 шт|BX80623I32130|||||||||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3550|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.3 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4||67 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2500|5 ГТ/с|6 МБ|32 ГБ|1600 МГц|2 шт||3.7 ГГц||||||||||||||||||||||||||
AMD Fusion A6 A6-5400K BOX|Fusion A6|Trinity|AMD FM2|32 нм|3.6 ГГц|65 Вт|SSE3, SSE4.1/4.2, AES, AVX Plus FMA4, XOP||70 °С|2 cores|96 КБ|1024 КБ|2 threads|Radeon HD 7540D||||1866 МГц|2 шт|AD540KOKHJBOX|3.8 ГГц|BOX (без кулера)|Есть||||||||||||||||||||||||
Intel Pentium Sandy Bridge G645|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.9 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|29|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|3 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
AMD Opteron 4184|Opteron|Lisbon|AMD C32|45 нм|2.8 ГГц|75 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow||70 °С|6 cores||||||||||||||384 КБ|3072 КБ|6 МБ|||||||||||||||||||||
Intel Celeron Ivy Bridge G1610|Celeron|Ivy Bridge|Intel LGA 1155|22 нм|2.6 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4|26||2 cores|64 КБ|512 КБ|2 threads||5 ГТ/с|2 МБ|32 ГБ|1333 МГц|2 шт||||||||||||||||||||||||||||
Intel Pentium Sandy Bridge G630|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.7 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|27|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует||3 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
Intel Core i3 Ivy Bridge i3-3250|Core i3|Ivy Bridge|Intel LGA 1155|22 нм|3.5 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4|35|65 °С|2 cores|||4 threads|HD Graphics 2500|||32 ГБ|1600 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Core 2 Duo E6400|Core 2 Duo|Conroe|Intel LGA 775|65 нм|2.13 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|8|61 °С|2 cores|64 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
AMD Sempron 2650|Sempron|Kabini|AMD AM1|28 нм|1.45 ГГц|25 Вт|MMX, SSE, SSE2, SSE3, SSE4, SSE4a, SSSE3, AES, AVX, BMI1, F16C, VT||90 °С|2 cores|64 КБ|1024 КБ||||||1333 МГц||SD2650JAHMBOX|||||||||||||||||||||||||||
Intel Pentium D 915|Pentium D|Presler|Intel LGA 775|65 нм|2.8 ГГц|95 Вт|MMX, SSE, SSE2, SSE3|14|62 °С|2 cores|32 КБ|4096 КБ|||||||||||||||||||||||||||||||||||
Intel Xeon E3 v3 E3-1271 v3|Xeon|Haswell|Intel LGA 1150|22 нм|3.6 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|36||4 cores|||8 threads|отсутствует|5 ГТ/с||32 ГБ|1600 МГц|2 шт||4 ГГц|||346 КБ|1024 КБ|8 МБ|Есть||||||||||||||||||||
Intel Core i5 Skylake i5-6400T BOX|Core i5|Skylake|Intel LGA 1151|14 нм|2.2 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX /|22|66 °С|4 cores|||4 threads|HD Graphics 530|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BXC80662I56400T|2.8 ГГц|BOX (с кулером)|Есть|128 КБ|1024 КБ|6 МБ||3.0|2133 МГц||||||||||||||||||
Intel Xeon E5 v3 E5-1603 v3|Xeon|Haswell-EP|Intel LGA 2011 v3|22 нм|2.8 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TXT /|28|67 °С|4 cores|||4 threads|отсутствует|||768 ГБ|1866 МГц|4 шт|||||256 КБ|1024 КБ|10 МБ|||||||||||||||||||||
Intel Xeon E5 v2 E5-2637 v2|Xeon|Ivy Bridge-EP|Intel LGA 2011|22 нм|3.5 ГГц|76 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|35|76 °С|4 cores|||4 threads|||||||||||512 КБ|1024 КБ|15 МБ|||||||||||||||||||||
Intel Xeon E3 v2 E3-1275 v2|Xeon|Ivy Bridge-H2|Intel LGA 1155|22 нм|3.5 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, HT, TBT 2.0, VT-x, VT-d, TXT /|35||4 cores|256 КБ|1024 КБ|8 threads|HD Graphics P4000||8 МБ|32 ГБ|1600 МГц|2 шт||3.9 ГГц||||||Есть||||||||||||||||||||
Intel Celeron Sandy Bridge G540|Celeron|Sandy Bridge|Intel LGA 1155|32 нм|2.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|25|65 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|2 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
Intel Xeon E3 v6 E3-1240 v6 BOX|Xeon|Kaby Lake|Intel LGA 1151|14 нм|3.7 ГГц|72 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|37||4 cores|||8 threads|отсутствует|8 ГТ/с||64 ГБ|1866 МГц|2 шт|BX80677E31240V6|4.1 ГГц|BOX (без кулера)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Xeon E3 v6 E3-1245 v6 BOX|Xeon|Kaby Lake|Intel LGA 1151|14 нм|3.7 ГГц|72 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|37||4 cores|||8 threads|HD Graphics P630|8 ГТ/с||64 ГБ|1866 МГц|2 шт|BX80677E31245V6|4.1 ГГц|BOX (без кулера)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Xeon E3 v6 E3-1270 v6 BOX|Xeon|Kaby Lake|Intel LGA 1151|14 нм|3.8 ГГц|73 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|38||4 cores|||8 threads|отсутствует|8 ГТ/с||64 ГБ|1866 МГц|2 шт|BX80677E31270V6|4.2 ГГц|BOX (без кулера)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Xeon E3 v6 E3-1280 v6 OEM|Xeon|Kaby Lake|Intel LGA 1151|14 нм|3.9 ГГц|72 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|39||4 cores|||8 threads|отсутствует|8 ГТ/с||64 ГБ|1866 МГц|2 шт||4.2 ГГц|OEM (без коробки)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Xeon Gold 5117 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|2 ГГц|105 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|20||14 cores|||28 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303317801|2.8 ГГц|OEM (без коробки)||896 КБ|14336 КБ|19.25 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Xeon E3 v6 E3-1285 v6 OEM|Xeon|Kaby Lake|Intel LGA 1151|14 нм|4.1 ГГц|79 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|41||4 cores|||8 threads|отсутствует|8 ГТ/с||64 ГБ|1866 МГц|2 шт|CM8067702870937|4.5 ГГц|OEM (без коробки)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
Intel Celeron E E1400|Celeron|Conroe|Intel LGA 775|65 нм|2 ГГц|65 Вт|||73 °С|2 cores||512 КБ|2 threads|отсутствует||||||BX80557E1400, HH80557PG041D|||||||||||||||||||||||||||
AMD Siena EPYC 8224P OEM|EPYC|Siena (Zen 4c)|AMD SP6|5 нм|2.55 ГГц|155 Вт||||24 cores|||48 threads|отсутствует||64 МБ|1152 ГБ||6 шт|100-000001134|3 ГГц|OEM (без коробки)|||||Есть|5.0 / x96 /||225 Вт|4800 МГц||||||||||||||||
AMD Siena EPYC 8324P OEM|EPYC|Siena (Zen 4c)|AMD SP6|5 нм|2.65 ГГц|155 Вт||||32 cores|||64 threads|отсутствует||128 МБ|1152 ГБ||6 шт|100-000001133|3 ГГц|OEM (без коробки)|||||Есть|5.0 / x96 /||225 Вт|4800 МГц||||||||||||||||
AMD Siena EPYC 8434P OEM|EPYC|Siena (Zen 4c)|AMD SP6|5 нм|2.5 ГГц|155 Вт||||48 cores|||96 threads|отсутствует||128 МБ|1152 ГБ||6 шт|100-000000877|3.1 ГГц|OEM (без коробки)|||||Есть|5.0 / x96 /||225 Вт|4800 МГц||||||||||||||||
AMD Siena EPYC 8534P OEM|EPYC|Siena (Zen 4c)|AMD SP6|5 нм|2.3 ГГц|155 Вт||||64 cores|||128 threads|отсутствует||128 МБ|1152 ГБ||6 шт|100-000000875|3.1 ГГц|OEM (без коробки)|||||Есть|5.0 / x96 /||225 Вт|4800 МГц||||||||||||||||
Intel Core i3 Sandy Bridge i3-2100|Core i3|Sandy Bridge|Intel LGA 1155|32 нм|3.1 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||69 °С|2 cores|64 КБ|512 КБ|4 threads|HD Graphics 2000|5 ГТ/с|3 МБ|32 ГБ|1333 МГц|2 шт|BX80623I32100|||||||Есть||||||||||||||||||||
Intel Core i7 Bloomfield i7-920|Core i7|Bloomfield|Intel LGA 1366|45 нм|2.66 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|20|68 °С|4 cores|64 КБ|1024 КБ|8 threads|отсутствует|4.8 ГТ/с|8 МБ|24 ГБ|1066 МГц|3 шт||2.93 ГГц||||||Есть||||||||||||||||||||
Intel Core i3 Ivy Bridge i3-3210|Core i3|Ivy Bridge|Intel LGA 1155|22 нм|3.2 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4|32|65 °С|2 cores|||4 threads|HD Graphics 2500|5 ГТ/с||32 ГБ|1600 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Core 2 Duo E6300|Core 2 Duo|Conroe|Intel LGA 775|65 нм|1.86 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, EM64T, VT, NX, XD|7|61 °С|2 cores|128 КБ|2048 КБ|||||||||||||||||||||||||||||||||||
Intel Core i5 Lynnfield i5-760|Core i5|Lynnfield|Intel LGA 1156|45 нм|2.8 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|21|73 °С|4 cores|64 КБ|1024 КБ|4 threads|отсутствует|2.5 ГТ/с|8 МБ|16 ГБ|1333 МГц|2 шт||3.33 ГГц||||||||||||||||||||||||||
Intel Xeon E3 v6 E3-1275 v6 BOX|Xeon|Kaby Lake|Intel LGA 1151|14 нм|3.8 ГГц|73 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, HT, NX, XD, VT-x, VT-d, TBT 2.0, TXT, TSX, MPX, SGX /|38||4 cores|||8 threads|HD Graphics P630|8 ГТ/с||64 ГБ|1866 МГц|2 шт|BX80677E31275V6|4.2 ГГц|BOX (без кулера)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||||||||||
AMD Rome EPYC 7402P OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.8 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||24 cores|||48 threads|отсутствует||128 МБ|||8 шт|100-000000048, 100000000048|3.35 ГГц|OEM (без коробки)|||||Есть||3200 МГц||||||||||||||||||
Intel Core i3 Clarkdale i3-530|Core i3|Clarkdale|Intel LGA 1156|32 нм|2.93 ГГц|73 Вт|MMX, SSE, SSE2, SSE3, SSE4||73 °С|2 cores|64 КБ|512 КБ|4 threads|отсутствует|2.5 ГТ/с|4 МБ|16 ГБ|1333 МГц|2 шт|BX80616I3530|||||||Есть||||||||||||||||||||
Intel Xeon E3 v5 E3-1225 v5|Xeon|Skylake|Intel LGA 1151|14 нм|3.3 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TBT 2.0, SGX, TXT, TSX /|33||4 cores|||4 threads|HD Graphics P530|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80662E31225V5|3.7 ГГц|||256 КБ|1024 КБ|8 МБ||3.0|2133 МГц||||||||||||||||||
Intel Celeron Sandy Bridge G550|Celeron|Sandy Bridge|Intel LGA 1155|32 нм|2.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|26|69 °С|2 cores|64 КБ|512 КБ|2 threads|отсутствует|5 ГТ/с|2 МБ|32 ГБ|1066 МГц|2 шт||||||||||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3450|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.1 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4||67 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2500|5 ГТ/с|6 МБ|32 ГБ|1600 МГц|2 шт||3.5 ГГц||||||||||||||||||||||||||
Intel Core i5 Sandy Bridge i5-2320|Core i5|Sandy Bridge|Intel LGA 1155|32 нм|3 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|29|73 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2000|5 ГТ/с|6 МБ|32 ГБ|1333 МГц|2 шт||3.3 ГГц||||||||||||||||||||||||||
Intel Core i7 Bloomfield i7-950|Core i7|Bloomfield|Intel LGA 1366|45 нм|3.06 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|23|68 °С|4 cores|64 КБ|1024 КБ|8 threads|отсутствует|4.8 ГТ/с|8 МБ|24 ГБ|1066 МГц|3 шт||3.33 ГГц||||||Есть||||||||||||||||||||
Intel Core i3 Clarkdale i3-540|Core i3|Clarkdale|Intel LGA 1156|32 нм|3.06 ГГц|73 Вт|MMX, SSE, SSE2, SSE3, SSE4||73 °С|2 cores|64 КБ|512 КБ|4 threads|отсутствует|2.5 ГТ/с|4 МБ|16 ГБ|1333 МГц|2 шт||||||||Есть||||||||||||||||||||
Intel Core i5 Sandy Bridge i5-2400|Core i5|Sandy Bridge|Intel LGA 1155|32 нм|3.1 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|31|73 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2000|5 ГТ/с|6 МБ|32 ГБ|1333 МГц|2 шт|BX80623I52400|3.4 ГГц||||||||||||||||||||||||||
Intel Celeron Skylake G3900T BOX|Celeron|Skylake|Intel LGA 1151|14 нм|2.6 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES / EM64T, NX, XD, VT-x, VT-d, SGX /|26||2 cores|||2 threads|HD Graphics 510|8 ГТ/с||64 ГБ|1600 МГц|2 шт|||BOX (с кулером)||128 КБ|1024 КБ|2 МБ||3.0|2133 МГц||||||||||||||||||
AMD Fusion A8 A8-3850|Fusion A8|Llano|AMD FM1|32 нм|2.9 ГГц|100 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow||72 °С|4 cores|512 КБ|4096 КБ|4 threads|Radeon HD 6550D||||1866 МГц|2 шт||||||||||||||||||||||||||||
AMD Bergamo EPYC 9734 OEM|EPYC|Bergamo (Zen 4c)|AMD SP5|5 нм|2.2 ГГц|320 Вт||||112 cores|||224 threads|отсутствует||256 МБ|||12 шт|100-000001235|3 ГГц|OEM (без коробки)|||||Есть|5.0 / x128 /||400 Вт|4800 МГц||||||||||||||||
AMD Milan EPYC 7313P BOX|EPYC|Milan (Zen 3)|AMD SP3|7 нм|3 ГГц|155 Вт||||16 cores|||32 threads|отсутствует||128 МБ|||8 шт|100-100000339WOF|3.7 ГГц|BOX (без кулера)|||||Есть|4.0 / Connectivity Версия PCI Express PCIe 4.0 /|3200 МГц|180 Вт|||||||||||||||||
Intel Core i5 Ivy Bridge i5-3570|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.4 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4|34|67 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 2500|5 ГТ/с|6 МБ|32 ГБ|1600 МГц|2 шт|BX80637I53570|3.8 ГГц||||||||||||||||||||||||||
Intel Core i5 Haswell i5-4440|Core i5|Haswell|Intel LGA 1150|22 нм|3.1 ГГц|84 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|31|73 °С|4 cores|||4 threads|HD Graphics 4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80646I54440|3.3 ГГц|||128 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Core i5 Sandy Bridge i5-2500K|Core i5|Sandy Bridge|Intel LGA 1155|32 нм|3.3 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|33|73 °С|4 cores|64 КБ|1024 КБ|4 threads|HD Graphics 3000|5 ГТ/с|6 МБ|32 ГБ|1333 МГц|2 шт|BX80623I52500K|3.7 ГГц||Есть||||||||||||||||||||||||
Intel Xeon E5 v4 E5-2630L v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|1.8 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|18|62 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||1536 ГБ||4 шт||2.9 ГГц|||640 КБ|2560 КБ|25 МБ|Есть||2133 МГц||||||||||||||||||
Intel Core i9 Raptor Lake Refresh 14900KS OEM|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||150 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|UHD Graphics 770||36 МБ|192 ГБ||2 шт|CM8071504820506|6.2 ГГц|OEM (без коробки)|Есть||||Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.9 ГГц|5.7 ГГц|4.5 ГГц|8 cores|16 cores|||||||||
Intel Pentium Conroe E2200|Pentium|Conroe|Intel LGA 775|65 нм|2.2 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|11|74 °С|2 cores|||2 threads|||||||||||64 КБ|1024 КБ||||||||||||||||||||||
Intel Pentium Conroe E2220|Pentium|Conroe|Intel LGA 775|65 нм|2.4 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|12|74 °С|2 cores|||2 threads|||||||||||64 КБ|1024 КБ||||||||||||||||||||||
Intel Pentium Conroe E2180|Pentium|Conroe|Intel LGA 775|65 нм|2 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|10|73 °С|2 cores|||2 threads|||||||||||64 КБ|1024 КБ||||||||||||||||||||||
Intel Xeon W-3200 W-3235|Xeon|Cascade Lake|Intel LGA 3647|14 нм|3.3 ГГц|180 Вт|MMX, EMMX, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, AVX, AVX2, AVX-512|33|72 °С|12 cores|||24 threads|отсутствует|8 ГТ/с||1000 ГБ||6 шт||4.4 ГГц|||||19.25 МБ|Есть||2933 МГц|||||4.5 ГГц|||||||||||||
Intel Xeon w5 Sapphire Rapids w5-3425 OEM|Xeon|Sapphire Rapids|Intel LGA 4677|10 нм||270 Вт|SSE4.1, AMX, SSE4.2, AVX2, AVX-512||103 °С|12 cores|||24 threads|отсутствует|||4000 ГБ||8 шт|PK8071305082100||OEM (без коробки)|||24576 КБ|30 МБ|Есть|5.0 / x112 /||324 Вт|4800 МГц|3.2 ГГц||4.6 ГГц|4.4 ГГц||12 cores||38056 балл(ов)||||||||
Intel Core i9 Raptor Lake Refresh 14900KS BOX|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||150 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|UHD Graphics 770||36 МБ|192 ГБ||2 шт|BX8071514900KS, BXC8071514900KS|6.2 ГГц|BOX (без кулера)|Есть||||Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.9 ГГц|5.7 ГГц|4.5 ГГц|8 cores|16 cores|||||||||
Intel Xeon 5000 Sequence E5410|Xeon|Harpertown|Intel LGA 771|45 нм|2.33 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|7|67 °С|4 cores|||4 threads|||||||||||64 КБ|1024 КБ|12 МБ|||||||||||||||||||||
Intel Core i5 Clarkdale i5-650|Core i5|Clarkdale|Intel LGA 1156|32 нм|3.2 ГГц|73 Вт|MMX, SSE, SSE2, SSE3, SSE4||73 °С|2 cores|||4 threads|отсутствует|2.5 ГТ/с||16 ГБ|1333 МГц|2 шт||3.46 ГГц|||64 КБ|512 КБ|4 МБ|Есть||||||||||||||||||||
Intel Pentium Wolfdale E5200|Pentium|Wolfdale|Intel LGA 775|45 нм|2.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|13|74 °С|2 cores|||2 threads|||||||||||64 КБ|2048 КБ||||||||||||||||||||||
Intel Xeon 5000 Sequence E5430|Xeon|Harpertown|Intel LGA 771|45 нм|2.66 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|8|67 °С|4 cores|||4 threads|||||||||||64 КБ|1024 КБ|12 МБ|||||||||||||||||||||
AMD Opteron 6320|Opteron|Piledriver|AMD G34|32 нм|2.8 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSE4||72 °С|8 cores||||||||||||||256 КБ|8192 КБ|16 МБ|||||||||||||||||||||
